Neighborhood,Crime Count,Rank
Mt. Oliver Boro,101,1
Mt. Oliver Neighborhood,117,2
Troy Hill-Herrs Island,252,3
Outside County,256,4
Ridgemont,296,5
Chartiers City,339,6
New Homestead,353,7
East Carnegie,401,8
Outside State,401,8
Swisshelm Park,443,10
Summer Hill,523,11
Mount Oliver,541,12
Regent Square,565,13
Hays,569,14
Arlington Heights,573,15
Oakwood,629,16
St. Clair,657,17
Esplen,705,18
Glen Hazel,778,19
Central Northside,786,20
Fairywood,820,21
Windgap,886,22
Spring Garden,941,23
Allegheny West,1094,24
Polish Hill,1094,24
Duquesne Heights,1179,26
South Shore,1272,27
Bon Air,1282,28
West End,1290,29
Terrace Village,1469,30
Morningside,1540,31
Friendship,1650,32
Westwood,1650,32
Upper Lawrenceville,1670,34
Lincoln Place,1680,35
Fineview,1775,36
Banksville,1795,37
California-Kirkbride,1883,38
Stanton Heights,1885,39
Upper Hill,1974,40
West Oakland,2014,41
Beltzhoover,2093,42
Troy Hill,2165,43
Arlington,2166,44
Outside City,2258,45
Manchester,2281,46
Overbrook,2318,47
South Oakland,2442,48
Spring Hill-City View,2480,49
Lower Lawrenceville,2604,50
Point Breeze North,2642,51
Northview Heights,2663,52
Elliott,2675,53
Bedford Dwellings,2675,53
Homewood West,2786,55
Crafton Heights,2901,56
Chateau,2943,57
Point Breeze,3073,58
Perry North,3177,59
Central North Side,3255,60
Strip District,3530,61
Garfield,3532,62
Allegheny Center,3614,63
Greenfield,3658,64
North Shore,3728,65
Larimer,3904,66
Squirrel Hill North,4088,67
Middle Hill,4125,68
Crawford-Roberts,4197,69
Golden Triangle/Civic Arena,4278,70
Perry South,4313,71
South Side Slopes,4323,72
Central Lawrenceville,4385,73
Highland Park,4562,74
North Oakland,4762,75
Bluff,4838,76
East Hills,5056,77
Central Oakland,5229,78
Allentown,5273,79
Hazelwood,5543,80
Marshall-Shadeland,5693,81
Beechview,5764,82
East Allegheny,6021,83
Sheraden,6214,84
Brighton Heights,6305,85
Knoxville,6435,86
Homewood North,6597,87
Lincoln-Lemington-Belmar,6865,88
Homewood South,7297,89
Mount Washington,7723,90
Brookline,7792,91
Squirrel Hill South,7809,92
East Liberty,8451,93
Bloomfield,8704,94
Shadyside,8773,95
Carrick,11927,96
South Side Flats,19098,97
Central Business District,19943,98
